Land Area,Ocean Area,Environment,Species,Scientific name,1950,S_1950,1951,S_1951,1952,S_1952,1953,S_1953,1954,S_1954,1955,S_1955,1956,S_1956,1957,S_1957,1958,S_1958,1959,S_1959,1960,S_1960,1961,S_1961,1962,S_1962,1963,S_1963,1964,S_1964,1965,S_1965,1966,S_1966,1967,S_1967,1968,S_1968,1969,S_1969,1970,S_1970,1971,S_1971,1972,S_1972,1973,S_1973,1974,S_1974,1975,S_1975,1976,S_1976,1977,S_1977,1978,S_1978,1979,S_1979,1980,S_1980,1981,S_1981,1982,S_1982,1983,S_1983,1984,S_1984,1985,S_1985,1986,S_1986,1987,S_1987,1988,S_1988,1989,S_1989,1990,S_1990,1991,S_1991,1992,S_1992,1993,S_1993,1994,S_1994,1995,S_1995,1996,S_1996,1997,S_1997,1998,S_1998,1999,S_1999,2000,S_2000,2001,S_2001,2002,S_2002,2003,S_2003,2004,S_2004,2005,S_2005,2006,S_2006,2007,S_2007,2008,S_2008,2009,S_2009,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Burkina Faso,Africa - Inland waters,Freshwater,..A,Spirulina platensis,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,10,F,50,.,50,.,70,.,70,.,70,.,100,.,100,.,120,.,100,.,80,.,140,.
Central African Republic,Africa - Inland waters,Freshwater,Spirulina nei,Spirulina spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,30,.,30,.,42,.,40,F,40,F,40,F,50,F
Kenya,"Indian Ocean, Western",Marine,Spiny eucheuma,Eucheuma denticulatum,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,.,40,F,160,F,400,F,400,F,400,F,400,F,400,F
Madagascar,"Indian Ocean, Western",Marine,Eucheuma seaweeds nei,Eucheuma spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1025,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,700,F,700,F,700,F,800,F,800,F,900,F,5300,.,3650,.,3650,.,3600,.,4000,F,1699,.,1400,.,3575,.,6970,.,15377,.,17423,.
Mozambique,"Indian Ocean, Western",Marine,Elkhorn sea moss,Kappaphycus alvarezii,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,.,0,.,0,.,1570,.,2100,.,920,.,360,.,150,.,690,.,700,.,230,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
Mozambique,"Indian Ocean, Western",Marine,Spiny eucheuma,Eucheuma denticulatum,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3130,.,0,.,200,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
Namibia,"Atlantic, Southeast",Marine,Gracilaria seaweeds,Gracilaria spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,17,.,17,.,17,F,17,F,17,F,17,F,20,F,20,F,20,F,38,.,67,.,67,F,67,F,70,F,27,.,132,.,130,F,130,F,130,.,130,F,130,F,130,F,130,F,130,F
Senegal,Africa - Inland waters,Brackishwater,..A,Spirulina maxima,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
Senegal,Africa - Inland waters,Freshwater,Spirulina nei,Spirulina spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1.6,.,0.065,.,0,.,1.8,.,3,.,3,.,11,.
South Africa,"Atlantic, Southeast",Marine,Gracilaria seaweeds,Gracilaria spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,10,.,32,.,10,.,16,.,5,.,12,.,12,.,50,F,92,.,95,.,100,.,100,F,100,F,300,F,400,F,450,F,0,.,0,.,0,.,0,.,0,.,0,.
South Africa,"Atlantic, Southeast",Marine,Seaweeds nei,Algae,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1000,F,2732,.,2750,.,2900,.,2900,F,2900,F,1534,F,1500,F,1565,F,2000,F,2000,F,2000,F,2000,F,2000,F,2500,F
"Tanzania, United Rep. of","Indian Ocean, Western",Marine,Eucheuma seaweeds nei,Eucheuma spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1500,.,1000,F,1000,F,2000,F,2000,F,3000,F,3000,F,3200,.,4000,.,5000,F,5520,.,6885,.,6600.8,.,6510,.,6689,.,6705,.,6750,.,7500,.
Tunisia,Africa - Inland waters,Freshwater,Spirulina nei,Spirulina spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,17.5,.
Zanzibar,"Indian Ocean, Western",Marine,Elkhorn sea moss,Kappaphycus alvarezii,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,10480,.,7860,.,4170,.,3940,.,4280,.,1900,.,637.5,.,165,.,205.75,.,128,.,621,.,904,.,2008,.,5330,.,5840,.,11.5,.
Zanzibar,"Indian Ocean, Western",Marine,Spiny eucheuma,Eucheuma denticulatum,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,8080,.,24970,.,21230,.,17680,.,24590,.,39170,.,47740,.,36670,.,43050,.,36670,.,49910,.,71380,.,103970,.,90470,.,67920,.,69340,.,74860,.,84212.5,.,107760,.,102476.2,.,125029,.,129779,.,149972,.,108430,.,127690,.,166650,.,111130,.
Belize,"Atlantic, Western Central",Marine,Eucheuma seaweeds nei,Eucheuma spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3.6,.,10,F,2.2,.,3,F,3,F
Brazil,"Atlantic, Southwest",Marine,Elkhorn sea moss,Kappaphycus alvarezii,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,300,F,500,F,700,F,700,F,700,F,700,F,700,F,700,F,700,F
Brazil,"Atlantic, Southwest",Marine,Gracilaria seaweeds,Gracilaria spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,20,F,20,F,30,F,30,F,30,F,30,F,30,F,30,F,30,F
Chile,"America, South - Inland waters",Freshwater,..A,Haematococcus pluvialis,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1444,.,7,.,16,.,38,.,12,.,5,.,15,.,41,.,26,.,0,.,13,.
Chile,"America, South - Inland waters",Freshwater,..A,Spirulina maxima,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3189,.,2712,.,6000,.,3,.,5,.,220,.,0,-,11,.,0,.,0,.,4,.
