Entity,Code,Year,1.5C pathways (high) (billion tonnes COâ‚‚ equivalent),1.5C pathways (low) (billion tonnes COâ‚‚ equivalent),1.5C pathways (median) (billion tonnes COâ‚‚ equivalent),2C pathways (high) (billion tonnes COâ‚‚ equivalent),2C pathways (low) (billion tonnes COâ‚‚ equivalent),2C pathways (median) (billion tonnes COâ‚‚ equivalent),Current policies (high) (billion tonnes COâ‚‚ equivalent),Current policies (low) (billion tonnes COâ‚‚ equivalent),Historic (billion tonnes COâ‚‚ equivalent),No climate policies (high) (billion tonnes COâ‚‚ equivalent),No climate policies (low) (billion tonnes COâ‚‚ equivalent),Pledges (high) (billion tonnes COâ‚‚ equivalent),Pledges (low) (billion tonnes COâ‚‚ equivalent),with seaweed (high),with seaweed (low),**assumes 23% emission covered by emissions
World,OWID_WRL,1990,,,,,,,,,35.33,,,,,,,
World,OWID_WRL,1991,,,,,,,,,35.64,,,,,,,
World,OWID_WRL,1992,,,,,,,,,34.92,,,,,,,
World,OWID_WRL,1993,,,,,,,,,35.08,,,,,,,
World,OWID_WRL,1994,,,,,,,,,35.24,,,,,,,
World,OWID_WRL,1995,,,,,,,,,36.01,,,,,,,
World,OWID_WRL,1996,,,,,,,,,36.64,,,,,,,
World,OWID_WRL,1997,,,,,,,,,36.92,,,,,,,
World,OWID_WRL,1998,,,,,,,,,37.19,,,,,,,
World,OWID_WRL,1999,,,,,,,,,37.39,,,,,,,
World,OWID_WRL,2000,,,,,,,,,38.53,,,,,,,
World,OWID_WRL,2001,,,,,,,,,38.95,,,,,,,
World,OWID_WRL,2002,,,,,,,,,39.52,,,,,,,
World,OWID_WRL,2003,,,,,,,,,40.8,,,,,,,
World,OWID_WRL,2004,,,,,,,,,42.23,,,,,,,
World,OWID_WRL,2005,,,,,,,,,43.32,43.16,43.16,,,,,
World,OWID_WRL,2006,,,,,,,,,44.49,44.32,43.29,,,,,
World,OWID_WRL,2007,,,,,,,,,45.76,45.48,43.42,,,,,
World,OWID_WRL,2008,,,,,,,,,45.91,46.64,43.54,,,,,
World,OWID_WRL,2009,,,,,,,,,45.29,47.8,43.67,,,,,
World,OWID_WRL,2010,49.92,47.28,47.42,50.02,46.69,48.1,,,46.93,48.96,43.8,,,,,
