Year,prop global sequestration,tonnes sequestered (low),tonnes sequestered (high),km2 need (low),km2 need (high),MEAN_km2,production need low (tonnes),production need high (tonnes),MEAN_prod,X fold of standing prod,current seaweed growth model (tonnes),scaled_current
2014,0,0,0,0,0,0,0,0,0,0,27355552,0.03
2015,0.0015,74205000,74400000,67035,66859,66947,0.97,0.98,0.97,33.2,29364625,0.03
2016,0.003,148980000,149610000,134799,134231,134515,1.95,1.96,1.96,64.9,30139389,0.03
2017,0.0045,225045000,226575000,204144,202766,203455,2.95,2.97,2.96,91.5,32342635,0.03
2018,0.006,302280000,304980000,274787,272355,273571,3.96,4,3.98,114.4,34802399,0.03
2019,0.0075,380775000,384975000,346863,343079,344971,4.99,5.05,5.02,134,37449236,0.04
2020,0.009,459900000,465840000,419722,414371,417046.5,6.03,6.11,6.07,150.6,40297375,0.04
2021,0.0105,541380000,550935000,496393,487784,492088.5,7.1,7.22,7.16,165.1,43362123,0.04
2022,0.012,624480000,638400000,575199,562657,568928,8.19,8.37,8.28,177.4,46659956,0.05
2023,0.0135,709155000,728595000,656465,638950,647707.5,9.3,9.55,9.42,187.7,50208600,0.05
2024,0.015,795600000,821100000,739812,716837,728324.5,10.43,10.76,10.6,196.1,54027130,0.05
2025,0.0165,883245000,915585000,824943,795805,810374,11.58,12,11.79,202.8,58136071,0.06
2026,0.018,972180000,1012320000,912102,875935,894018.5,12.74,13.27,13.01,207.9,62557512,0.06
2027,0.0195,1062945000,1111500000,1001463,957715,979589,13.93,14.57,14.25,211.7,67315217,0.07
2028,0.021,1155420000,1212960000,1092879,1041035,1066957,15.15,15.9,15.52,214.3,72434762,0.07
2029,0.0225,1249650000,1317150000,1186754,1125936,1156345,16.38,17.27,16.82,215.8,77943665,0.08
2030,0.024,1344960000,1423200000,1282305,1211811,1247058,17.63,18.66,18.14,216.3,83871538,0.08
2031,0.0255,1435140000,1531785000,1380140,1293063,1336601.5,18.81,20.08,19.45,215.5,90250246,0.09
2032,0.027,1525770000,1639980000,1477624,1374721,1426172.5,20,21.5,20.75,213.6,97114075,0.1
2033,0.0285,1623075000,1754460000,1580771,1462393,1521582,21.28,23,22.14,211.8,104499922,0.1
2034,0.03,1711500000,1872000000,1686675,1542064,1614369.5,22.43,24.54,23.49,208.9,112447486,0.11
2035,0.0315,1804635000,1991745000,1794565,1625979,1710272,23.66,26.11,24.88,205.6,120999489,0.12
2036,0.033,1898490000,2114640000,1905293,1710542,1807917.5,24.89,27.72,26.3,202,130201900,0.13
2037,0.0345,1998240000,2236635000,2015211,1800417,1907814,26.19,29.32,27.76,198.1,140104185,0.14
2038,0.036,2100240000,2362680000,2128778,1892319,2010548.5,27.53,30.97,29.25,194,150759571,0.15
2039,0.0375,2199750000,2488875000,2242480,1981978,2112229,28.83,32.62,30.73,189.4,162225334,0.16
2040,0.039,2295930000,2615340000,2356425,2068636,2212530.5,30.1,34.28,32.19,184.4,174563107,0.17
2041,0.0405,2394765000,2746305000,2474425,2157686,2316055.5,31.39,36,33.69,179.4,187839208,0.19
2042,0.042,2494800000,2874480000,2589910,2247818,2418864,32.7,37.68,35.19,174.1,202125001,0.2
2043,0.0435,2603475000,3004110000,2706707,2345734,2526220.5,34.13,39.38,36.75,169,217497275,0.22
2044,0.045,2707200000,3126600000,2817071,2439191,2628131,35.49,40.98,38.23,163.4,234038662,0.23
2045,0.0465,2812785000,3249885000,2928151,2534323,2731237,36.87,42.6,39.73,157.8,251838075,0.25
2046,0.048,2922240000,3383520000,3048556,2632942,2840749,38.3,44.35,41.33,152.5,270991193,0.27
2047,0.0495,3029400000,3516975000,3168799,2729493,2949146,39.71,46.1,42.91,147.1,291600969,0.29
2048,0.051,3128850000,3648540000,3287339,2819098,3053218.5,41.01,47.83,44.42,141.6,313778186,0.31
2049,0.0525,3231375000,3782625000,3408150,2911473,3159811.5,42.36,49.58,45.97,136.1,337642054,0.34
2050,0.054,3332880000,3916080000,3528393,3002929,3265661,43.69,51.33,47.51,130.8,363320848,0.36
2051,0.0555,3426570000,4052610000,3651407,3087344,3369375.5,44.92,53.12,49.02,125.4,390952599,0.39
2052,0.057,3506070000,4202040000,3786044,3158974,3472509,45.96,55.08,50.52,120.1,420685836,0.42
2053,0.0585,3595995000,4340700000,3910977,3239996,3575486.5,47.14,56.9,52.02,114.9,452680384,0.45
2054,0.06,3679200000,4485000000,4040991,3314964,3677977.5,48.23,58.79,53.51,109.8,487108223,0.49
2055,0.0615,3745350000,4615575000,4158639,3374565,3766602,49.09,60.5,54.8,104.5,524154413,0.52
2056,0.063,3827880000,4742640000,4273125,3448925,3861025,50.18,62.17,56.17,99.6,564018088,0.56
2057,0.0645,3918375000,4887810000,4403923,3530461,3967192,51.36,64.07,57.72,95.1,606913527,0.61
2058,0.066,4004220000,5024580000,4527153,3607808,4067480.5,52.49,65.86,59.17,90.6,653071307,0.65
2059,0.0675,4083750000,5165100000,4653762,3679464,4166613,53.53,67.7,60.62,86.3,702739538,0.7
2060,0.069,4165530000,5297130000,4772721,3753148,4262934.5,54.6,69.43,62.02,82,756185202,0.76
2061,0.0705,4246920000,5423565000,4886639,3826481,4356560,55.67,71.09,63.38,77.9,813695585,0.81
2062,0.072,4267440000,5559840000,5009423,3844969,4427196,55.94,72.88,64.41,73.6,875579823,0.88
2063,0.0735,4359285000,5686695000,5123720,3927722,4525721,57.14,74.54,65.84,69.9,942170562,0.94
2064,0.075,4440750000,5799750000,5225583,4001122,4613352.5,58.21,76.02,67.12,66.2,1013825747,1.01
2065,0.0765,4541805000,5918805000,5332851,4092172,4712511.5,59.53,77.58,68.56,62.8,1090930545,1.09
2066,0.078,4588740000,6035640000,5438120,4134461,4786290.5,60.15,79.12,69.63,59.3,1173899418,1.17
2067,0.0795,4656315000,6138990000,5531238,4195346,4863292,61.04,80.47,70.75,56,1263178348,1.26
2068,0.081,4710150000,6283980000,5661874,4243852,4952863,61.74,82.37,72.06,53,1359247235,1.36
2069,0.0825,4763550000,6414375000,5779361,4291965,5035663,62.44,84.08,73.26,50.1,1462622479,1.46
2070,0.084,4826640000,6551160000,5902604,4348809,5125706.5,63.27,85.87,74.57,47.4,1573859752,1.57
2071,0.0855,4879485000,6674130000,6013400,4396423,5204911.5,63.96,87.48,75.72,44.7,1693556987,1.69
2072,0.087,4926810000,6795570000,6122818,4439062,5280940,64.58,89.08,76.83,42.2,1822357592,1.82
2073,0.0885,4979010000,6926010000,6240344,4486095,5363219.5,65.26,90.79,78.03,39.8,1960953909,1.96
2074,0.09,5022900000,7061400000,6362331,4525640,5443985.5,65.84,92.56,79.2,37.5,2110090933,2.11
2075,0.0915,5070015000,7197390000,6484858,4568090,5526474,66.46,94.34,80.4,35.4,2270570322,2.27
2076,0.093,5123370000,7306080000,6582788,4616163,5599475.5,67.16,95.77,81.46,33.3,2443254698,2.44
2077,0.0945,5182380000,7433370000,6697476,4669331,5683403.5,67.93,97.44,82.68,31.4,2629072291,2.63
2078,0.096,5239680000,7564800000,6815895,4720959,5768427,68.68,99.16,83.92,29.7,2829021927,2.83
2079,0.0975,5290350000,7686900000,6925907,4766612,5846259.5,69.35,100.76,85.05,27.9,3044178393,3.04
2080,0.099,5339070000,7812090000,7038704,4810509,5924606.5,69.98,102.4,86.19,26.3,3275698219,3.28
2081,0.1005,5376750000,7920405000,7136296,4844459,5990377.5,70.48,103.82,87.15,24.7,3524825893,3.52
2082,0.102,5443740000,8068200000,7269459,4904817,6087138,71.36,105.76,88.56,23.3,3792900550,3.79
2083,0.1035,5504130000,8210655000,7397811,4959229,6178520,72.15,107.63,89.89,22,4081363170,4.08
2084,0.105,5567100000,8346450000,7520163,5015965,6268064,72.97,109.41,91.19,20.8,4391764326,4.39
2085,0.1065,5615745000,8460360000,7622796,5059794,6341295,73.61,110.9,92.25,19.5,4725772516,4.73
2086,0.108,5673240000,8551440000,7704859,5111597,6408228,74.36,112.09,93.23,18.3,5085183132,5.09
2087,0.1095,5727945000,8654880000,7798059,5160886,6479472.5,75.08,113.45,94.27,17.2,5471928113,5.47
2088,0.111,5780880000,8762340000,7894880,5208581,6551730.5,75.78,114.86,95.32,16.2,5888086328,5.89
2089,0.1125,5833125000,8851500000,7975213,5255653,6615433,76.46,116.03,96.24,15.2,6335894750,6.34
2090,0.114,5876700000,8941020000,8055871,5294915,6675393,77.03,117.2,97.12,14.2,6817760483,6.82
2091,0.1155,5917065000,9029790000,8135853,5331284,6733568.5,77.56,118.36,97.96,13.4,7336273697,7.34
2092,0.117,5952960000,9123660000,8220430,5363625,6792027.5,78.03,119.59,98.81,12.5,7894221554,7.89
2093,0.1185,5985435000,9213375000,8301263,5392885,6847074,78.46,120.77,99.61,11.7,8494603189,8.49
2094,0.12,6030000000,9291600000,8371744,5433038,6902391,79.04,121.79,100.42,11,9140645832,9.14
2095,0.1215,6073785000,9354285000,8428223,5472488,6950355.5,79.62,122.62,101.12,10.3,9835822153,9.84
2096,0.123,6102030000,9452550000,8516760,5497937,7007348.5,79.99,123.9,101.94,9.6,10583868930,10.58
2097,0.1245,6139095000,9560355000,8613893,5531333,7072613,80.47,125.32,102.89,9,11388807136,11.39
2098,0.126,6196680000,9679320000,8721080,5583217,7152148.5,81.23,126.88,104.05,8.5,12254963553,12.25
2099,0.1275,6239850000,9783075000,8814564,5622113,7218338.5,81.79,128.24,105.01,8,13186994028,13.19
2100,0.129,6296490000,9893010000,8913615,5673146,7293380.5,82.53,129.68,106.11,7.5,14189908500,14.19
